question,answer,question_ids,answer_ids
 to the ready acceptance and influence of American pop cultural trends. This affinity is, seen in Filip,"[271, 248, 2923, 13784, 273, 5943, 275, 2281, 1526, 6454, 8656, 204, 25, 735, 32603, 304]","[2173, 272, 24740]"
" they saw fit, subject to limits imposed by wartime national wage and price controls", intended to limit,"[506, 2759, 2962, 204, 23, 2828, 271, 8721, 19083, 431, 60837, 3432, 14730, 273, 2073, 9044]","[6868, 271, 4402]"
 of the Sun and in excess of 60 times the mass of the Sun ,. The entire,"[275, 248, 5436, 273, 272, 6877, 275, 204, 1938, 1762, 248, 2810, 275, 248, 5436, 204]","[25, 390, 2429]"
" Cesar Jimenez ; however, David Buchanan was eventually expected to take", Lee ',"[23161, 270, 7241, 17427, 204, 38, 2537, 204, 23, 4653, 58902, 398, 6014, 3463, 271, 980]","[7986, 204, 18]"
" production crew used fruit juices as wine, ginger ale as brandy, and", cold tea as,"[3146, 8994, 1042, 6568, 31145, 345, 5657, 204, 23, 18386, 9378, 345, 59355, 204, 23, 273]","[4134, 6696, 345]"
 the season on 29 April 2007 in a 4 – ,2 win over,"[248, 2120, 313, 204, 2237, 3242, 204, 853, 34, 272, 241, 204, 31, 204, 600, 204]","[29, 1596, 648]"
 railway station is the principal railway station in Bath. It was built in ,1840 by,"[23745, 5663, 304, 248, 9212, 23745, 5663, 272, 10474, 204, 25, 605, 398, 3426, 272, 204]","[11804, 27, 431]"
" ft ), and the chloride concentration was 3 @.@", 5 millig,"[12094, 204, 20, 204, 23, 273, 248, 37543, 10533, 398, 204, 30, 204, 43, 25, 43]","[204, 32, 58944]"
" by Loma Vista Recordings, Canada by Dine Alone Records,", Japan by Victor,"[431, 393, 5352, 21879, 14534, 621, 204, 23, 4332, 431, 361, 438, 44419, 13957, 204, 23]","[4086, 431, 14325]"
". The reviewer for The Australian called the novel "" a meditation on death", and the fra,"[204, 25, 390, 39107, 312, 390, 8562, 1964, 248, 5946, 204, 13, 241, 13772, 313, 2787]","[273, 248, 4756]"
 Woolfolk ( 1978 – 81 ). Robinson, has scored at,"[27084, 25939, 204, 19, 204, 3344, 35, 204, 600, 204, 10587, 204, 20, 204, 25, 18734]","[504, 10893, 388]"
ée coast. Even while grounded the frigates continued to fire on one another, until Mermaid finally,"[2717, 7740, 204, 25, 3777, 1093, 24201, 248, 39345, 750, 4902, 271, 2858, 313, 532, 1382]","[1725, 62175, 3854]"
. We are sorry to mention the fact that they are so far reduced as, to be barely,"[204, 25, 703, 362, 6893, 271, 3012, 248, 1249, 325, 506, 362, 485, 1825, 6511, 345]","[271, 314, 10311]"
 household name due to its previous trade successes across the country. The younger Joseph,", along","[7092, 1536, 2159, 271, 701, 2732, 4505, 27032, 1993, 248, 2020, 204, 25, 390, 7804, 9559]","[204, 23, 1858]"
" 2000s after Emeco was acquired by his son, Gregg ",. French designer,"[204, 853, 27, 94, 852, 2321, 46893, 398, 10860, 431, 545, 1990, 204, 23, 57643, 204]","[25, 5063, 9476]"
". To date, this version of the song has been the biggest commercial success",", spending","[25, 1472, 2831, 204, 23, 414, 2684, 275, 248, 3172, 504, 650, 248, 5270, 4416, 1823]","[204, 23, 5755]"
", around the seaport and Five Points area, refrained from", involvement in the,"[204, 23, 1111, 248, 385, 523, 386, 273, 13015, 20345, 1766, 204, 23, 1134, 24573, 427]","[12962, 272, 248]"
" consumers where the farmers can display their crops, mention the quantity, specify", the method of,"[6842, 881, 248, 10840, 418, 3542, 525, 18334, 204, 23, 3012, 248, 10691, 204, 23, 16150]","[248, 2082, 275]"
" in Part III by their gossiping, flattering counterparts in the fine manor ",@-@,"[272, 2529, 10093, 431, 525, 29511, 263, 204, 23, 42645, 24961, 272, 248, 3606, 60906, 204]","[43, 24, 43]"
 was added as a meat option in 2012. Three seasonal items and, a gluten ,"[398, 2664, 345, 241, 6585, 2773, 272, 204, 626, 29, 204, 25, 9004, 16767, 3139, 273]","[241, 16615, 204]"
" of the best episodes of the show in years. "" Alex Rocha", of TV Guide,"[275, 248, 935, 12144, 275, 248, 1049, 272, 909, 204, 25, 204, 13, 5579, 10044, 4733]","[275, 3559, 7591]"
TRO and Stacy are interrupted by L Dubba E — now Stacy ,'s boyfriend,"[63, 2908, 273, 56018, 362, 24374, 431, 393, 11458, 4975, 399, 204, 791, 849, 56018, 204]","[18, 94, 14350]"
". In some amino acids, the amine group is attached to the �",� or �,"[25, 529, 596, 20601, 15768, 204, 23, 248, 653, 438, 1408, 304, 8757, 271, 248, 8542]","[122, 379, 8542]"
" published for the first time : "" Ultimatum "" in The", Listener ,"[4002, 312, 248, 772, 601, 204, 37, 204, 13, 8835, 34719, 381, 204, 13, 272, 390]","[4702, 867, 204]"
 East Boston and operated by the Massachusetts Port Authority ( Massport ) ,", is Boston","[4704, 8788, 273, 13388, 431, 248, 13623, 4149, 13888, 204, 19, 6262, 610, 204, 20, 204]","[23, 304, 8788]"
 the album's lead single. The song earned Wizkid a, Next Rated award,"[248, 5026, 204, 18, 94, 1210, 2278, 204, 25, 390, 3172, 8870, 367, 475, 47091, 241]","[7425, 32625, 5025]"
" Northern Ireland, Dannatt applied to take an "" in @-",@ service ,"[10536, 9226, 204, 23, 39783, 1207, 5989, 271, 980, 267, 204, 13, 272, 204, 43, 24]","[43, 1506, 204]"
" release for iOS and Android systems reached 100 @,@ 000 downloads", within 6,"[3586, 312, 11240, 273, 6277, 2876, 5283, 204, 1425, 204, 43, 23, 43, 204, 1321, 20597]","[1574, 204, 33]"
 changed its name to Saxons FC and opened up its membership to players who were, not also members,"[4148, 701, 1536, 271, 35712, 690, 17645, 273, 5177, 510, 701, 9085, 271, 3005, 569, 646]","[416, 614, 2094]"
es of songs found on Prince's twenty @-@ third studio," album,","[255, 275, 6640, 1217, 313, 11459, 204, 18, 94, 8435, 204, 43, 24, 43, 2914, 7882]","[5026, 204, 23]"
" Archaeological investigations have found graves with human remains, dating to the thir",teenth to fif,"[39919, 3069, 18794, 413, 1217, 33335, 335, 2079, 5517, 204, 23, 4595, 271, 248, 281, 330]","[28835, 271, 6766]"
"ski, who had worked with Moffat on Joking Apart,", told Moff,"[14970, 204, 23, 569, 618, 3320, 335, 331, 2710, 249, 313, 462, 7306, 16160, 204, 23]","[2276, 331, 2710]"
; she held this position until 1906. The other four ships joined, her in the,"[38, 674, 3053, 414, 2524, 1725, 204, 7001, 33, 204, 25, 390, 599, 1855, 13118, 5671]","[573, 272, 248]"
" episode, "" Beauty Pageant "". "" Practice Date"," "" received","[6699, 204, 23, 204, 13, 15805, 7846, 384, 204, 13, 204, 25, 204, 13, 13287, 7105]","[204, 13, 3245]"
"wright, and soon his own sermons began taking a critical view of the ",""" covenant of","[33645, 204, 23, 273, 2538, 545, 946, 57999, 3465, 2290, 241, 4751, 1654, 275, 248, 204]","[13, 33809, 275]"
". In March, the band relocated to Myrtle Beach, South Carolina ",", performing six nights","[25, 529, 3102, 204, 23, 248, 4129, 41528, 271, 55653, 6608, 204, 23, 2993, 8253, 204]","[23, 9162, 2972, 10759]"
" after Colin Todd was sacked on 12 February 2007, City", chairman Julian Rhodes made,"[852, 25930, 18586, 398, 247, 18059, 313, 204, 928, 4286, 204, 853, 34, 204, 23, 2681]","[17686, 26769, 38843, 1021]"
" a Parisian friend allowed his cats to eat from the table, became enam",ored of cats in,"[241, 6671, 715, 1397, 4217, 545, 11204, 271, 3781, 427, 248, 2409, 204, 23, 3569, 63360]","[2033, 275, 11204, 272]"
 the stalls on their perimeter and maintain an open area between the walls and the rest, of the New City,"[248, 39941, 313, 525, 34998, 273, 3359, 267, 1314, 1766, 1192, 248, 7439, 273, 248, 1297]","[275, 248, 1184, 2681]"
"'s interim government, who fled from Washington @-@ on", @-@,"[204, 18, 94, 26372, 2183, 204, 23, 569, 22032, 427, 4868, 204, 43, 24, 43, 313]","[204, 43, 24, 43]"
" May 17, 2008 at the 2008 Zootopia",", an annual","[1896, 204, 1392, 204, 23, 204, 853, 35, 388, 248, 204, 853, 35, 1193, 1360, 28286]","[204, 23, 267, 5310]"
's worst impact was reported on the Tongatapu and '," Eua,","[204, 18, 94, 7290, 2549, 398, 3713, 313, 248, 31558, 249, 523, 96, 273, 204, 18]","[399, 4951, 204, 23]"
" time and energy, and control over the quality of new members. Other", characteristics of the classification,"[601, 273, 2399, 204, 23, 273, 1873, 648, 248, 1932, 275, 627, 2094, 204, 25, 4232]","[9031, 275, 248, 17873]"
"é. At the end of the war in Europe, Brezhne",v was chief political,"[465, 204, 25, 1570, 248, 991, 275, 248, 2694, 272, 2600, 204, 23, 5590, 32523, 579]","[97, 398, 7852, 3709]"
 the park. Many visitors choose to picnic on the expansive lawns as well ,. The first grill,"[248, 3707, 204, 25, 4552, 6737, 2650, 271, 23316, 313, 248, 32242, 54302, 345, 779, 204]","[25, 390, 772, 16992]"
 1 billion in its lifetime making it one of the highest grossers of ,2011 in Telugu,"[204, 28, 4777, 272, 701, 10209, 1591, 334, 532, 275, 248, 5123, 11644, 358, 275, 204]","[626, 28, 272, 59195]"
 a career @-@ high 11 games for the Senators. In, a seven @,"[241, 3579, 204, 43, 24, 43, 986, 204, 1069, 2106, 312, 248, 43266, 204, 25, 529]","[241, 5144, 204, 43]"
", particularly Geoffrey Rush, who trained at L 'École Internationale", de Théâtre,"[23, 4235, 59198, 22276, 204, 23, 569, 8512, 388, 393, 204, 18, 11249, 25109, 58837, 895]","[336, 526, 465, 51299]"
" movie about a man who collects air miles excessively. In another sense,", it's,"[3756, 544, 241, 546, 569, 29690, 1829, 4794, 44224, 204, 25, 529, 1382, 2839, 204, 23]","[334, 204, 18, 94]"
) aircraft to a speed of 66 knots ( 122 km /, h ; ,"[20, 10872, 271, 241, 3804, 275, 204, 5175, 34842, 204, 19, 204, 16036, 8027, 204, 26]","[278, 204, 38, 204]"
 reported that Charuwan Duangchan had sought refuge in Thailand. Du,angchan alleged that,"[3713, 325, 5404, 96, 8866, 6299, 642, 3485, 618, 10754, 11903, 272, 16029, 204, 25, 6299]","[642, 3485, 14084, 325]"
"mus, Kevin Youkilis, Ryan Braun, Gabe Kapler",", Jason Marquis","[15522, 204, 23, 11600, 781, 86, 32946, 204, 23, 10075, 44003, 204, 23, 35808, 15214, 24689]","[204, 23, 12232, 53840]"
"o State and Bayelsa State, Nigeria. While some local populations", are aware that the,"[90, 2683, 273, 5680, 1097, 76, 2683, 204, 23, 12727, 204, 25, 3249, 596, 1783, 13459]","[362, 3671, 325, 248]"
" Vowel Shift, which changed the pronunciation of long vowels, but", a few dialects,"[553, 48907, 32925, 204, 23, 585, 4148, 248, 45454, 275, 916, 34012, 1097, 204, 23, 480]","[241, 1218, 33567, 94]"
" deathbed to dance with ghosts. In 1904, Sibel",ius revised the piece,"[2787, 3572, 271, 7070, 335, 33771, 204, 25, 529, 204, 7001, 31, 204, 23, 302, 29682]","[4962, 20640, 248, 3522]"
38 Squadron from the Army's 173rd Surveillance Squadron on 20, November 2009,"[3491, 56647, 427, 248, 9475, 204, 18, 94, 204, 21171, 5138, 50787, 56647, 313, 204, 423]","[3895, 204, 853, 36]"
western Madagascar. The holotype was caught in 1967 in a mist,net set in a,"[18257, 58588, 204, 25, 390, 3394, 10576, 398, 5992, 272, 204, 3954, 34, 272, 241, 4621]","[4252, 889, 272, 241]"
 @-@ and @-@ click adventure games. The cooperative, campaign was also inspired,"[204, 43, 24, 43, 273, 204, 43, 24, 43, 3093, 8766, 2106, 204, 25, 390, 27989]","[3942, 398, 614, 7152]"
" later stated that at the end of six months of singing lessons, he ",""" still couldn ","[2185, 6293, 325, 388, 248, 991, 275, 2972, 2137, 275, 11968, 8767, 204, 23, 332, 204]","[13, 1102, 3494, 204]"
" in the form of scholarships and grants from federal, state, institutional ",", and external sources","[272, 248, 1052, 275, 24028, 273, 14465, 427, 5116, 204, 23, 1592, 204, 23, 15599, 204]","[23, 273, 7341, 5331]"
" and supported Sony Xperia mobile devices ( "" Remote Play """," ),","[273, 6246, 15311, 1876, 461, 494, 3660, 4398, 204, 19, 204, 13, 18940, 4575, 204, 13]","[204, 20, 204, 23]"
" Meshuggah has found little mainstream success as yet, but is a significant", act in extreme underground,"[34776, 12937, 943, 504, 1217, 1278, 14808, 1823, 345, 2035, 204, 23, 480, 304, 241, 2589]","[714, 272, 8653, 16991]"
", 2010. To encourage pre @-@ order sales",", Rockstar","[204, 23, 204, 626, 27, 204, 25, 1472, 6816, 634, 204, 43, 24, 43, 1538, 3220]","[204, 23, 6064, 7835]"
" strange, sombre, syncopated theme, whose monotony", recalls some sailor ,"[8479, 204, 23, 1011, 2149, 204, 23, 18362, 387, 522, 6082, 204, 23, 4678, 55872, 2471]","[28145, 596, 53843, 204]"
" Puhoy "" was written and storyboarded by Tom Herpich", and Steve Wolfhard,"[337, 6712, 677, 204, 13, 398, 3523, 273, 1962, 3362, 269, 431, 5736, 2783, 91, 479]","[273, 9046, 11834, 12191]"
" between two settings marked "" chorale "" and "" tremolo ",""". The","[1192, 847, 6025, 9673, 204, 13, 30760, 895, 204, 13, 273, 204, 13, 8790, 7065, 204]","[13, 204, 25, 390]"
 the area. At their temporary headquarters base at Le Trou they fought off an, attack by about ,"[248, 1766, 204, 25, 1570, 525, 10498, 18458, 2995, 388, 1135, 25841, 506, 13764, 597, 267]","[3033, 431, 544, 204]"
 background. Kerr also asked on 21 October for Whitlam's, permission to interview Fraser,"[4359, 204, 25, 47627, 614, 2425, 313, 204, 1868, 3692, 312, 15828, 6811, 204, 18, 94]","[9834, 271, 3975, 36809]"
" the Paraguayan national capital on 3 January 1869, increasingly sick", and depressed.,"[248, 63384, 23573, 3432, 4236, 313, 204, 30, 3675, 204, 10380, 36, 204, 23, 9064, 6856]","[273, 22822, 204, 25]"
 the film would flop at the box office because it was up against several summer blockbuster," films, like","[248, 2675, 631, 51840, 388, 248, 2886, 2805, 875, 334, 398, 510, 1542, 1988, 3550, 50262]","[7593, 204, 23, 606]"
 and anti @-@ Bolshevism. They promised a strong central," government, increased","[273, 4630, 204, 43, 24, 43, 55135, 97, 1189, 204, 25, 1176, 12195, 241, 2127, 5213]","[2183, 204, 23, 4044]"
 and South of Tasmania. The match subsequently took place in 1850 ,", when Launc","[273, 2993, 275, 54255, 204, 25, 390, 3185, 17294, 2065, 1237, 272, 204, 11127, 27, 204]","[23, 635, 2284, 5061]"
", and had to be defused and removed by the Royal Engineers.", In 1962,"[204, 23, 273, 618, 271, 314, 984, 2391, 273, 6235, 431, 248, 8829, 28695, 204, 25]","[529, 204, 3954, 29]"
" hailed "" One Thing "" as "" perfectly executed pop rock """, and opined that,"[48823, 204, 13, 2146, 26746, 204, 13, 345, 204, 13, 6771, 15916, 1526, 4375, 204, 13]","[273, 970, 1292, 325]"
" s Corps, including the forces of generals Laval, Molitor ",", Jardon ","[247, 19756, 204, 23, 1497, 248, 6389, 275, 51639, 393, 10904, 204, 23, 19806, 1998, 204]","[23, 462, 26836, 204]"
" Kingdom opened on May 23, 1987, leasing 10", acres ( ,"[9721, 5177, 313, 1896, 204, 1871, 204, 23, 204, 2747, 34, 204, 23, 33646, 204, 696]","[15567, 204, 19, 204]"
 where it peaked at number five for two non @-@ consecutive weeks ,", and spent six","[881, 334, 46531, 388, 1386, 2505, 312, 847, 1462, 204, 43, 24, 43, 17206, 2927, 204]","[23, 273, 4190, 2972]"
" Vale because of overcrowding at Stockton. In 1953, with", only three others out,"[43119, 875, 275, 54258, 263, 388, 58883, 204, 25, 529, 204, 5021, 30, 204, 23, 335]","[736, 1373, 1885, 495]"
" second raid, a 227 kg ( 500 lb ) armor", @-@,"[1459, 27071, 204, 23, 241, 204, 26300, 13852, 204, 19, 204, 3087, 20364, 204, 20, 21377]","[204, 43, 24, 43]"
24 civilians from villages around Hrvatska Dubica were killed by Serb, forces at unknown locations,"[1463, 24462, 427, 18970, 1111, 370, 30979, 1379, 2695, 11458, 2039, 646, 6109, 431, 3216, 77]","[6389, 388, 9330, 6477]"
" most of Maulbetsch's runs "" didn ’", t even get as,"[758, 275, 4944, 338, 77, 1203, 327, 204, 18, 94, 5895, 204, 13, 1518, 204, 329]","[240, 830, 577, 345]"
" James Madison, he mentioned taking friends to Windship's mound ",( now the Hop,"[4826, 17806, 204, 23, 332, 4708, 2290, 2153, 271, 3532, 6218, 204, 18, 94, 42595, 204]","[19, 849, 248, 13350]"
 opposition had fielded their reserve side during the competition and as such a largely second, – string United,"[11632, 618, 2206, 269, 525, 13252, 1753, 1365, 248, 5867, 273, 345, 963, 241, 9540, 1459]","[204, 600, 3821, 2522]"
. In 844 Æthelwulf granted land at Horton in Kent, to Ealdorman,"[204, 25, 529, 204, 43255, 767, 212, 36928, 98, 7828, 10629, 2168, 388, 58481, 272, 10611]","[271, 399, 3661, 38059]"
", after some refinements the plan came to fruition three years later as the Junior", Equipment and Administrative Training,"[23, 852, 596, 23606, 3387, 248, 1353, 2001, 271, 52764, 1373, 909, 2185, 345, 248, 17358]","[13223, 273, 30157, 8113]"
" 4 September, which was also the expected day of the verdict of ",28 health workers and,"[204, 31, 3278, 204, 23, 585, 398, 614, 248, 3463, 1002, 275, 248, 28192, 275, 204]","[2086, 1242, 4862, 273]"
 National Assembly elected Gabriel Narutowicz of Polish People's Party ,""" Wyzwolen","[2926, 13749, 11356, 25021, 20729, 320, 307, 18942, 275, 20327, 4813, 204, 18, 94, 6865, 204]","[13, 13173, 15591, 10827]"
" Waugh, in Brideshead Revisited, may have had Driberg", in mind when the,"[367, 2450, 204, 23, 272, 50243, 2438, 814, 61906, 204, 23, 724, 413, 618, 55662, 4991]","[272, 1744, 635, 248]"
"'s daughter, Martha Jefferson Randolph, who was, of course",", her niece","[18, 94, 5195, 204, 23, 25012, 22998, 53522, 204, 23, 569, 398, 204, 23, 275, 1668]","[204, 23, 573, 35858]"
" of Canterbury, a cardinal ; Innocent VII had passed over Morton in", his first consistory,"[275, 50886, 204, 23, 241, 51593, 204, 38, 14531, 52851, 33592, 618, 4710, 648, 45093, 272]","[545, 772, 3607, 675]"
" tracks. From May work commenced on the first new platform, which was", completed in February ,"[9563, 204, 25, 3314, 1896, 633, 36906, 313, 248, 772, 627, 2768, 204, 23, 585, 398]","[5326, 272, 4286, 204]"
" and pied flycatchers. In winter, the water meadows draw", large numbers of ducks,"[273, 19101, 7053, 11023, 10690, 204, 25, 529, 5595, 204, 23, 248, 1391, 454, 14169, 3181]","[1902, 4169, 275, 42537]"
"rkjosen Airport opened on 1 August 1974, the same", day as four regional,"[41652, 85, 5612, 11246, 5177, 313, 204, 28, 3333, 204, 3344, 31, 204, 23, 248, 1144]","[1002, 345, 1855, 7954]"
" called "" sombre yet supremely uplifting "". The poem was", also noticed in the,"[1964, 204, 13, 1011, 2149, 2035, 28733, 589, 40601, 204, 13, 204, 25, 390, 13851, 398]","[614, 6900, 272, 248]"
" nixt, to ansuer to sic things as salbe inquirit at"," him, tu","[9643, 689, 204, 23, 271, 5975, 4721, 271, 18961, 1209, 345, 1527, 1039, 25907, 3063, 388]","[801, 204, 23, 4297]"
" "" was released as the first single from Independiente on 23 August", 2011 in,"[204, 13, 398, 4171, 345, 248, 772, 2278, 427, 1435, 3043, 8830, 313, 204, 1871, 3333]","[204, 626, 28, 272]"
" to the audience, he expressed happiness that the Jewish people were beginning to be", recognized as a force,"[271, 248, 5111, 204, 23, 332, 8960, 10807, 325, 248, 9272, 692, 646, 4118, 271, 314]","[7709, 345, 241, 4091]"
" Col, and Tyr @-@ yi. In all these", islands he could she,"[1640, 204, 23, 273, 36904, 204, 43, 24, 43, 291, 84, 204, 25, 529, 455, 783]","[17729, 332, 765, 674]"
""", "" Hearts Burst into Fire "", and ",""" Waking the","[13, 204, 23, 204, 13, 35826, 6797, 288, 679, 5848, 204, 13, 204, 23, 273, 204]","[13, 367, 870, 248]"
" rice rat, Oryzomys palustris natator, for Ray and found that they were more reddish than even the most strongly colored animals", from Florida,"[8843, 5014, 204, 23, 432, 547, 101, 279, 839, 4498, 411, 3024, 13282, 1322, 204, 23, 312, 9604, 273, 1217, 325, 506, 646, 520, 56101, 661, 830, 248, 758, 9995, 14885, 5632]","[427, 5837]"
 Game to the New York Giants. The 1942 Chicago Bears posted an 11 – 0 record but lost in the 1942 NFL Championship, Game to,"[6351, 271, 248, 1184, 2798, 23779, 204, 25, 390, 204, 5387, 29, 6685, 25392, 5637, 267, 204, 1069, 204, 600, 204, 27, 2081, 480, 3208, 272, 248, 204, 5387, 29, 11099, 15224]","[6351, 271]"
" Baby Mama. In the episode, stock footage of the Arkansas Governor's Mansion was used for exterior shots of the home of Gavin Volure ",. This,"[11372, 26864, 204, 25, 529, 248, 6699, 204, 23, 3801, 16473, 275, 248, 19875, 13726, 204, 18, 94, 49667, 398, 1042, 312, 12559, 9715, 275, 248, 1081, 275, 42573, 5183, 458, 204]","[25, 735]"
"atically and technologically minded groups. Several college cheers at the Massachusetts Institute of Technology include "" 3 @.@ 14159 "".", Pi Day,"[4874, 273, 57273, 33152, 3467, 204, 25, 14776, 4178, 42048, 388, 248, 13623, 5502, 275, 6391, 1965, 204, 13, 204, 30, 204, 43, 25, 43, 204, 18900, 5587, 204, 13, 204, 25]","[19776, 3228]"
" – 17 days out of a full 37 @-@ day cycle, and females will advertise fertility with urinary scent marks and increased vocalization",.,"[204, 600, 204, 1392, 1522, 495, 275, 241, 1535, 204, 3597, 204, 43, 24, 43, 1002, 6759, 204, 23, 273, 15688, 451, 27119, 24629, 335, 34907, 15867, 10270, 273, 4044, 15189, 1587]","[204, 25]"
"metric, the intensity was held just below hurricane status. Shortly after, strong wind shear caused the storm to deteriorate, leaving the low @",-@,"[22121, 204, 23, 248, 14062, 398, 3053, 645, 2249, 30405, 4458, 204, 25, 46139, 852, 204, 23, 2127, 2177, 44885, 5229, 248, 7695, 271, 61545, 204, 23, 5391, 248, 1958, 204, 43]","[24, 43]"
" against Henry in 1538, and the Pope encouraging the two countries to attack England. Henry responded in 1539 by ordering, through an", instruction called,"[1542, 9566, 272, 204, 19617, 35, 204, 23, 273, 248, 19306, 13093, 248, 847, 3354, 271, 3033, 6118, 204, 25, 9566, 12125, 272, 204, 19617, 36, 431, 15724, 204, 23, 788, 267]","[10522, 1964]"
" of transport, found it hard going to reach the parachute brigade and were still 1 mile ( 1 @.@ 6 km ",) away,"[275, 4395, 204, 23, 1217, 334, 1396, 1089, 271, 3665, 248, 49984, 1220, 53746, 273, 646, 1102, 204, 28, 10018, 204, 19, 204, 28, 204, 43, 25, 43, 204, 33, 8027, 204]","[20, 1514]"
" had already compromised top levels of the US government, and that by serving in Rhodesia he was helping to unify "" his people "" against a", foreign conspiracy,"[618, 1775, 25690, 1246, 3193, 275, 248, 1571, 2183, 204, 23, 273, 325, 431, 6752, 272, 38843, 494, 332, 398, 4851, 271, 476, 1888, 204, 13, 545, 692, 204, 13, 1542, 241]","[5427, 20770]"
 what Klenau later called Masséna's Infernal Column. Klenau organized the rear guard for the Army's retreat, into Mor,"[637, 531, 5193, 540, 2185, 1964, 6262, 465, 1797, 204, 18, 94, 9825, 1074, 268, 27349, 204, 25, 531, 5193, 540, 8682, 248, 9375, 6189, 312, 248, 9475, 204, 18, 94, 14789]","[679, 4389]"
"%. Driven by the performance of "" A Canterlot Wedding "", The Hub earned its second @-@ best Saturday rating in", the network,"[16, 204, 25, 59414, 431, 248, 2644, 275, 204, 13, 317, 1853, 342, 21945, 15607, 204, 13, 204, 23, 390, 12154, 8870, 701, 1459, 204, 43, 24, 43, 935, 4882, 8689, 272]","[248, 3041]"
" Ambedkar and Muhammad Ali Jinnah for his views on the Congress, and for his opposition to Hindi. They then decided to convene a", movement to,"[1731, 3572, 16368, 273, 27734, 14771, 462, 3421, 943, 312, 545, 5209, 313, 248, 6855, 204, 23, 273, 312, 545, 11632, 271, 26563, 204, 25, 1176, 832, 3571, 271, 5050, 80, 241]","[4823, 271]"
" the results of the November 1963 ouster of Diem. "" Among the civilians linked to Thảo's plot were Catholic academics", and a,"[248, 2196, 275, 248, 3895, 204, 3954, 30, 2937, 2467, 275, 361, 5254, 204, 25, 204, 13, 11351, 248, 24462, 8076, 271, 526, 28624, 34967, 204, 18, 94, 8965, 646, 9824, 26979]","[273, 241]"
 returned to the stage in 2008 for a run of Neil LaBute's In a Dark Dark House and played the title role in the Liverpool, Everyman,"[5887, 271, 248, 4204, 272, 204, 853, 35, 312, 241, 1257, 275, 21474, 2284, 45, 1220, 204, 18, 94, 529, 241, 8892, 8892, 3487, 273, 3983, 248, 4120, 2836, 272, 248, 20292]","[3700, 1342]"
" water ; water supplies are sourced from several local reservoirs, including Kitcliffe, Piethorne and Rooden in Milnrow's", outlying,"[1391, 204, 38, 1391, 8099, 362, 26187, 427, 1988, 1783, 61735, 204, 23, 1497, 7387, 47239, 204, 23, 19776, 728, 35586, 273, 382, 665, 250, 272, 6194, 89, 784, 204, 18, 94]","[495, 3985]"
" the album's 1957 liner notes. Stef, the Variety reviewer, called Angelou's act "" sizzling """, and a,"[248, 5026, 204, 18, 94, 204, 5021, 34, 29347, 5948, 204, 25, 38642, 204, 23, 248, 42028, 39107, 204, 23, 1964, 13020, 254, 204, 18, 94, 714, 204, 13, 61445, 204, 13]","[273, 241]"
" number of modern Greek historians describe the work as "" perhaps the most important treatise of the political thought of the Neohellenic Enlightenment "", ",""" the","[1386, 275, 3424, 10111, 34106, 7474, 248, 633, 345, 204, 13, 4428, 248, 758, 1355, 1796, 744, 275, 248, 3709, 1465, 275, 248, 33638, 16093, 39565, 58885, 204, 13, 204, 23, 204]","[13, 248]"
"@ year terms. Councillors are elected in thirds, with elections held in three years out of every four @-@ year period. Thus",",","[43, 649, 3072, 204, 25, 43036, 63593, 362, 11356, 272, 59230, 204, 23, 335, 12148, 3053, 272, 1373, 909, 495, 275, 759, 1855, 204, 43, 24, 43, 649, 2397, 204, 25, 7947]","[204, 23]"
"icket. As compensation for his lack of runs, Kippax led NSW to victory over Victoria in late January, which clinched the Sheffield Shield", title for,"[9862, 204, 25, 1130, 10398, 312, 545, 3795, 275, 5895, 204, 23, 531, 1575, 941, 3803, 26591, 271, 9071, 648, 12722, 272, 3297, 3675, 204, 23, 585, 514, 35478, 248, 42765, 22452]","[4120, 312]"
" several involving choking, torture, or electrocution, and any scenes which could be considered educational in their depiction of crime methods. Sadistic", violence and,"[1988, 10121, 50663, 204, 23, 20865, 204, 23, 379, 13823, 9052, 280, 204, 23, 273, 607, 10463, 585, 765, 314, 3558, 7473, 272, 525, 47484, 275, 7482, 4300, 204, 25, 15839, 3010]","[6789, 273]"
" as the new men at the crease. Johnson struggled to score, while Tallon did so freely in the last hour. Edrich had Johnson caught", behind for,"[345, 248, 627, 1658, 388, 248, 63067, 204, 25, 7822, 16339, 271, 5179, 204, 23, 1093, 23602, 245, 826, 485, 15624, 272, 248, 1143, 3918, 204, 25, 2625, 7936, 618, 7822, 5992]","[2614, 312]"
" and costing the job of Daimler @-@ Benz's chief engineer, Wolfgang Peter. Approximately 5 percent of 1989", LS ,"[273, 33618, 248, 1630, 275, 361, 1933, 2239, 204, 43, 24, 43, 48298, 204, 18, 94, 7852, 14602, 204, 23, 52678, 6922, 204, 25, 42966, 204, 32, 2613, 275, 204, 2747, 36]","[31586, 204]"
 boost the company's national profile. Spread bettors favored Virginia Tech to win the game by five points. In exchange for appearing in the game ,", each","[6034, 248, 1438, 204, 18, 94, 3432, 5793, 204, 25, 29021, 47915, 28579, 8246, 10288, 271, 1596, 248, 1404, 431, 2505, 2705, 204, 25, 529, 6003, 312, 18373, 272, 248, 1404, 204]","[23, 1148]"
